"Part";"Value";"Device";"Package";"Description";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"NOTES";"PN";"VENDOR";
"A1";"BEAGLEBONE_OUTLINE";"BEAGLEBONE_OUTLINE";"BEAGLEBONE_SHIELD";"Should match A3 pinout - but not completely tested";"Adafruit Industries LLC";"706";"2 pack stacking header";"1528-1365-ND";"Digi-Key";
"C1";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"Samsung Electro-Mechanics America, Inc.";"CL21B104KOANNNC";"";"1276-2448-1-ND";"Digi-Key";
"C2";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"Murata Electronics North America";"GRM21BR61C106KE15K";"";"490-6473-1-ND";"Digi-Key";
"C3";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"Murata Electronics North America";"GRM21BR61C106KE15K";"";"490-6473-1-ND";"Digi-Key";
"C4";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"Samsung Electro-Mechanics America, Inc.";"CL21A226MOCLRNC";"";"1276-6780-1-ND";"Dig-Key";
"C5";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"Samsung Electro-Mechanics America, Inc.";"CL21B105KPFNNNE";"";"1276-1275-1-ND";"Digi-Key";
"C6";"47uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"TDK Corporation";"C3216X5R1E476M160AC";"Reduced capacitance from 100uF to 47uF, V2 package should be 1210 or larger";"445-8047-1-ND";"Digi-Key";
"C7";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"Samsung Electro-Mechanics America, Inc.";"CL21A475KQFNNNG";"";"1276-6465-1-ND";"Digi-Key";
"J1";"CONN_04";"CONN_04";"JST-4-PTH-VERT";"";"JST Sales America Inc.";"B4B-PH-K-S(LF)(SN)";"";"455-1706-ND";"Digi-Key";
"J2";"MOLEX-22-03-5035";"MOLEX-22-03-5035";"MOLEX-22-03-5035";"MOLEX, LLC 22-03-5035";"Molex, LLC";"22-03-5035";"";"WM18887-ND";"Digi-Key";
"JP1";"";"PINHD-1X4";"1X04";"PIN HEADER";"Samtec Inc.";"SSW-104-01-F-S";"";"SAM10018-ND";"Digi-Key";
"PAD1";"WIREPADSMD2,54-5,08";"WIREPADSMD2,54-5,08";"SMD2,54-5,08";"Wire PAD connect wire on PCB";"";"";"";"";"OSH Park";
"PAD2";"WIREPADSMD2,54-5,08";"WIREPADSMD2,54-5,08";"SMD2,54-5,08";"Wire PAD connect wire on PCB";"";"";"";"";"OSH Park";
"PS1";"V78-2000";"V78-2000";"V78-2000";"5V Non-Isolated Switching Regulator";"CUI Inc.";"V7805-2000R";"";"102-2188-ND";"Digi-Key";
"R1";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"Yageo";"RC0805JR-0710KL";"";"311-10KARCT-ND";"Digi-Key";
"R2";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"Yageo";"RC0805JR-0710KL";"";"311-10KARCT-ND";"Digi-Key";
"R3";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"Yageo";"RC0805JR-0710KL";"";"311-10KARCT-ND";"Digi-Key";
"R4";"47k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"Stackpole Electronics Inc";"RMCF0805JT47K0";"";"RMCF0805JT47K0CT-ND";"Digi-Key";
"R5";"130";"R-US_R0805";"R0805";"RESISTOR, American symbol";"Yageo";"RC0805FR-07130RL";"";"311-130CRCT-ND";"Digi-Key";
"R6";"910";"R-US_R0805";"R0805";"RESISTOR, American symbol";"Yageo";"RC0805FR-07910RL";"";"311-910CRCT-ND";"Digi-Key";
"SJ1";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"OSH Park";
